pair_name,branch,branch_cn,score,score_cn,coverage,accuracy_gain_vs_full_BayesMMRL,accuracy_gain_vs_full_MMRL,full_accuracy_BayesMMRL,full_accuracy_MMRL,rejected_error_rate_BayesMMRL,rejected_error_rate_MMRL,retained_accuracy_BayesMMRL,retained_accuracy_MMRL,retained_error_rate_BayesMMRL,retained_error_rate_MMRL,delta_full_accuracy_Bayes_minus_MMRL,delta_retained_accuracy_Bayes_minus_MMRL,delta_accuracy_gain_vs_full_Bayes_minus_MMRL,delta_retained_error_rate_Bayes_minus_MMRL,delta_rejected_error_rate_Bayes_minus_MMRL
case_B__VS__case_A,rep,表示增强分支,one_minus_probability_margin,低决策间隔,1.0,0.0,0.0,0.8400740153317473,0.8236849061591329,,,0.8400740153317473,0.8236849061591329,0.1599259846682527,0.17631509384086705,0.01638910917261438,0.01638910917261438,0.0,-0.016389109172614352,
case_B__VS__case_A,rep,表示增强分支,one_minus_probability_margin,低决策间隔,0.98,0.009399952836582903,0.011761546498002207,0.8400740153317473,0.8236849061591329,0.618421052631579,0.75,0.8494739681683302,0.8354464526571351,0.15052603183166982,0.16455354734286484,0.01638910917261438,0.014027515511195077,-0.0023615936614193034,-0.014027515511195021,-0.13157894736842102
case_B__VS__case_A,rep,表示增强分支,one_minus_probability_margin,低决策间隔,0.95,0.023865884501307777,0.02550819345132893,0.8400740153317473,0.8236849061591329,0.6137566137566137,0.6613756613756614,0.8639398998330551,0.8491930996104619,0.13606010016694492,0.15080690038953812,0.01638910917261438,0.014746800222593226,-0.001642308950021154,-0.014746800222593198,-0.04761904761904767
case_B__VS__case_A,rep,表示增强分支,one_minus_probability_margin,低决策间隔,0.9,0.04568222549057277,0.049149161388591045,0.8400740153317473,0.8236849061591329,0.5714285714285714,0.6190476190476191,0.8857562408223201,0.872834067547724,0.11424375917767988,0.12716593245227606,0.01638910917261438,0.012922173274596105,-0.003466935898018275,-0.012922173274596174,-0.04761904761904767
case_B__VS__case_A,rep,表示增强分支,one_minus_probability_margin,低决策间隔,0.85,0.06446578566327754,0.07214842717420045,0.8400740153317473,0.8236849061591329,0.5255731922398589,0.5855379188712522,0.9045398009950248,0.8958333333333334,0.09546019900497513,0.10416666666666667,0.01638910917261438,0.008706467661691475,-0.007682641510922905,-0.008706467661691544,-0.059964726631393295
case_B__VS__case_A,rep,表示增强分支,one_minus_probability_margin,低决策间隔,0.8,0.09019696946666644,0.0936977772513099,0.8400740153317473,0.8236849061591329,0.5204755614266843,0.5508586525759577,0.9302709847984137,0.9173826834104428,0.06972901520158625,0.08261731658955718,0.01638910917261438,0.012888301387970924,-0.003500807784643456,-0.012888301387970924,-0.0303830911492734
case_B__VS__case_A,rep,表示增强分支,one_minus_probability_margin,低决策间隔,0.7,0.11611933814257291,0.12684379474721152,0.8400740153317473,0.8236849061591329,0.43083700440528633,0.4722466960352423,0.9561933534743202,0.9505287009063444,0.04380664652567976,0.04947129909365559,0.01638910917261438,0.00566465256797577,-0.01072445660463861,-0.005664652567975825,-0.04140969162995595
case_B__VS__case_A,rep,表示增强分支,one_minus_probability_margin,低决策间隔,0.6,0.13261320933785625,0.14679967533866445,0.8400740153317473,0.8236849061591329,0.3588896232650364,0.3965631196298744,0.9726872246696036,0.9704845814977974,0.027312775330396475,0.029515418502202642,0.01638910917261438,0.0022026431718061845,-0.014186466000808196,-0.002202643171806167,-0.03767349636483802
case_B__VS__case_A,rep,表示增强分支,predictive_entropy,预测熵,1.0,0.0,0.0,0.8400740153317473,0.8236849061591329,,,0.8400740153317473,0.8236849061591329,0.1599259846682527,0.17631509384086705,0.01638910917261438,0.01638910917261438,0.0,-0.016389109172614352,
case_B__VS__case_A,rep,表示增强分支,predictive_entropy,预测熵,0.98,0.011558032145997488,0.012570826239032717,0.8400740153317473,0.8236849061591329,0.7236842105263158,0.7894736842105263,0.8516320474777448,0.8362557323981656,0.14836795252225518,0.16374426760183436,0.01638910917261438,0.01537631507957915,-0.0010127940930352297,-0.015376315079579178,-0.06578947368421051
case_B__VS__case_A,rep,表示增强分支,predictive_entropy,预测熵,0.95,0.028317748719449143,0.0282906085876673,0.8400740153317473,0.8236849061591329,0.6984126984126984,0.7142857142857143,0.8683917640511964,0.8519755147468002,0.13160823594880355,0.14802448525319978,0.01638910917261438,0.016416249304396224,2.7140131781844268e-05,-0.016416249304396224,-0.015873015873015928
case_B__VS__case_A,rep,表示增强分支,predictive_entropy,预测熵,0.9,0.05038119759042592,0.05590393378212988,0.8400740153317473,0.8236849061591329,0.6137566137566137,0.6798941798941799,0.8904552129221732,0.8795888399412628,0.10954478707782672,0.12041116005873716,0.01638910917261438,0.010866372980910421,-0.005522736191703959,-0.010866372980910435,-0.06613756613756616
case_B__VS__case_A,rep,表示增强分支,predictive_entropy,预测熵,0.85,0.07223941750407359,0.07867827792046911,0.8400740153317473,0.8236849061591329,0.5696649029982364,0.6225749559082893,0.9123134328358209,0.902363184079602,0.08768656716417911,0.09763681592039801,0.01638910917261438,0.00995024875621886,-0.00643886041639552,-0.009950248756218902,-0.05291005291005291
case_B__VS__case_A,rep,表示增强分支,predictive_entropy,预测熵,0.8,0.08953603093395002,0.09700246991489214,0.8400740153317473,0.8236849061591329,0.5178335535006605,0.5640686922060766,0.9296100462656973,0.9206873760740251,0.07038995373430271,0.07931262392597488,0.01638910917261438,0.008922670191672255,-0.007466438980942125,-0.008922670191672172,-0.04623513870541607
case_B__VS__case_A,rep,表示增强分支,predictive_entropy,预测熵,0.7,0.1195181296833584,0.12948729927893354,0.8400740153317473,0.8236849061591329,0.43876651982378856,0.47841409691629955,0.9595921450151057,0.9531722054380665,0.040407854984894256,0.04682779456193353,0.01638910917261438,0.006419939577039235,-0.009969169595575145,-0.006419939577039277,-0.03964757709251099
case_B__VS__case_A,rep,表示增强分支,predictive_entropy,预测熵,0.6,0.13305373797221742,0.14856178987610935,0.8400740153317473,0.8236849061591329,0.3595505617977528,0.39920687376074027,0.9731277533039647,0.9722466960352423,0.026872246696035242,0.027753303964757708,0.01638910917261438,0.0008810572687224516,-0.015508051903891928,-0.0008810572687224655,-0.03965631196298747
