pair_name,true_class,pred_class,MMRL_count,Bayes_count,delta,Bayes_conf,Bayes_MI
case_B__VS__case_A,78,35,3,4,1,0.4245468080043793,0.10509821772575378
case_B__VS__case_A,78,39,0,3,3,0.42934903502464294,0.1402665376663208
case_B__VS__case_A,78,50,3,3,0,0.4815729558467865,0.16284744441509247
case_B__VS__case_A,78,78,22,20,-2,0.665499210357666,0.08854995667934418
case_B__VS__case_A,78,92,14,12,-2,0.5607850551605225,0.09046820551156998
case_B__VS__case_A,79,39,0,1,1,0.703270435333252,0.14213109016418457
case_B__VS__case_A,79,79,32,31,-1,0.9532485008239746,0.014309040270745754
case_B__VS__case_A,80,48,1,0,-1,,
case_B__VS__case_A,80,79,3,0,-3,,
case_B__VS__case_A,80,80,36,39,3,0.9353489279747009,0.01923457719385624
case_B__VS__case_A,80,87,0,1,1,0.7241874933242798,0.07589948177337646
case_B__VS__case_A,81,81,28,28,0,0.9422513842582703,0.016369633376598358
case_B__VS__case_A,82,80,1,1,0,0.9626720547676086,0.019063174724578857
case_B__VS__case_A,82,82,30,30,0,0.9605871438980103,0.012974172830581665
case_B__VS__case_A,83,47,2,6,4,0.6531193256378174,0.10160522907972336
case_B__VS__case_A,83,83,37,30,-7,0.9098376035690308,0.029632912948727608
case_B__VS__case_A,83,91,0,2,2,0.646935224533081,0.08450248837471008
case_B__VS__case_A,83,96,0,1,1,0.6271299123764038,0.10540759563446045
case_B__VS__case_A,84,84,41,41,0,0.9982057213783264,0.00035396331804804504
case_B__VS__case_A,85,20,1,0,-1,,
case_B__VS__case_A,85,56,1,0,-1,,
case_B__VS__case_A,85,74,1,1,0,0.7867529392242432,0.08160334825515747
case_B__VS__case_A,85,85,29,31,2,0.8485578298568726,0.0707658976316452
case_B__VS__case_A,86,86,34,34,0,0.9969407320022583,0.0016905891243368387
case_B__VS__case_A,87,81,2,3,1,0.6721786856651306,0.058012884110212326
case_B__VS__case_A,87,87,31,30,-1,0.9506745934486389,0.012470847927033901
case_B__VS__case_A,88,2,0,1,1,0.539655327796936,0.14622163772583008
case_B__VS__case_A,88,3,0,1,1,0.726643443107605,0.09860306978225708
case_B__VS__case_A,88,21,1,3,2,0.4531997740268707,0.14949794113636017
case_B__VS__case_A,88,45,0,1,1,0.29707270860671997,0.0997917652130127
case_B__VS__case_A,88,49,0,1,1,0.5176321268081665,0.14171206951141357
case_B__VS__case_A,88,74,3,0,-3,,
case_B__VS__case_A,88,83,3,2,-1,0.5494034290313721,0.05200856924057007
case_B__VS__case_A,88,88,34,31,-3,0.9177486300468445,0.03075885772705078
case_B__VS__case_A,88,93,0,1,1,0.5981281399726868,0.09495484828948975
case_B__VS__case_A,88,97,1,1,0,0.49721717834472656,0.1278156042098999
case_B__VS__case_A,89,89,39,39,0,0.9931061863899231,0.002867204835638404
case_B__VS__case_A,90,55,0,1,1,0.6364665627479553,0.100436270236969
case_B__VS__case_A,90,90,28,27,-1,0.9522860050201416,0.01188704464584589
case_B__VS__case_A,91,2,2,0,-2,,
case_B__VS__case_A,91,7,1,0,-1,,
case_B__VS__case_A,91,23,2,0,-2,,
case_B__VS__case_A,91,35,1,6,5,0.5208702683448792,0.13256829977035522
case_B__VS__case_A,91,44,1,1,0,0.7199953198432922,0.08743971586227417
case_B__VS__case_A,91,79,3,2,-1,0.9892950057983398,0.011585695669054985
case_B__VS__case_A,91,80,1,3,2,0.4972023069858551,0.15968596935272217
case_B__VS__case_A,91,88,0,1,1,0.6941655278205872,0.14886128902435303
case_B__VS__case_A,91,89,1,0,-1,,
case_B__VS__case_A,91,91,35,35,0,0.9563706517219543,0.014329944737255573
case_B__VS__case_A,91,93,2,1,-1,0.7960578799247742,0.1072571873664856
case_B__VS__case_A,92,28,0,1,1,0.3786558508872986,0.2663881778717041
